query_id,query_time_range(ms),refer_id,refer_time_range(ms)
b62a8b88-b8cb-11e9-930e-fa163ee49799,0|53730,1244627000,698240|762720
984a4d86-b99f-11e9-8b81-fa163ee49799,0|42890,1530507600,3583420|3626310
f5006a56-b922-11e9-8b81-fa163ee49799,0|94890,2620315400,3803720|3898610
2801f72e-b989-11e9-8b81-fa163ee49799,0|46860,1629260900,2489110|2535970
374a3a0c-b93e-11e9-8b81-fa163ee49799,53330|116710,3043930400,3319460|3382840
d07b0188-b935-11e9-8b81-fa163ee49799,0|45530,2927857700,2498910|2544440
50f7e5ec-b986-11e9-9c9e-fa163e3d9e3c,42620|99830,2333805400,1879240|1936450
79267ff6-b922-11e9-9c9e-fa163e3d9e3c,57970|113380,1723849300,1041520|1096930
742bf6ac-b931-11e9-9c9e-fa163e3d9e3c,73730|147050,1753812600,5351340|5424660
31023ca2-b994-11e9-8b81-fa163ee49799,70490|163080,1398481500,1020120|1112710
68848f02-b996-11e9-8b81-fa163ee49799,0|39070,1398481500,3343570|3390460
c008e798-b98f-11e9-8b81-fa163ee49799,16210|79580,1596046700,2946870|3022920
3e840a16-b964-11e9-8b81-fa163ee49799,7360|88420,1376903200,3313240|3394300
d880856a-b9a8-11e9-b8ed-fa163e063a2b,53100|100960,1804312000,5492670|5540530
e2f1ea86-b92e-11e9-9c9e-fa163e3d9e3c,41560|122220,1753812600,2233020|2313680
bb14ce68-b93b-11e9-9c9e-fa163e3d9e3c,72810|136540,1782169900,4637510|4701240
da5ab27a-b98f-11e9-8b81-fa163ee49799,30440|121790,1596046700,3082360|3173710
c06e9662-b8b1-11e9-930e-fa163ee49799,0|31780,1773351300,944910|976690
21443adc-b911-11e9-ad99-fa163ee49799,63820|137870,2400411900,1652090|1726140
2a2645c4-b942-11e9-8b81-fa163ee49799,0|72750,3043930400,6921620|6994370
631bb5a8-b929-11e9-b8ed-fa163e063a2b,30170|95900,1598981800,802510|868240
219a0f06-b93f-11e9-8b81-fa163ee49799,58010|136140,3043930400,4176000|4254130
fedfc0c8-b97a-11e9-8b81-fa163ee49799,0|74780,1323656900,929690|1004470
39f129d6-b967-11e9-9c9e-fa163e3d9e3c,12720|81540,2598171100,6087490|6156310
a46e17aa-b90e-11e9-8127-fa163e063a2b,52970|141620,666051400,556120|644770
4465d46c-b970-11e9-b8ed-fa163e063a2b,16700|75980,1419310000,2237450|2296730
ba012a04-b980-11e9-9c9e-fa163e3d9e3c,33040|92610,2688448300,1880480|1940050
f31a5138-b96e-11e9-8b81-fa163ee49799,26010|86910,1415151600,2599550|2660450
4d4c8d7c-b994-11e9-8b81-fa163ee49799,0|68650,1398481500,1148450|1217100
c579293c-b95c-11e9-8b81-fa163ee49799,42590|132070,1421444400,551060|658430
dce2788a-b8c6-11e9-930e-fa163ee49799,0|95160,3184886800,2001640|2096800
7129559a-b912-11e9-ad99-fa163ee49799,73690|166620,2400411900,2838160|2931090
970df722-b95b-11e9-9c9e-fa163e3d9e3c,13320|109610,2909399800,2114390|2210680
04c4d4bc-b947-11e9-8b81-fa163ee49799,29080|70720,1710310600,3456150|3497790
baf1d75a-b945-11e9-8b81-fa163ee49799,0|54880,1710310600,1998340|2064190
ade2f1ae-b9a2-11e9-8b81-fa163ee49799,0|76120,1596058300,2010000|2086120
d02e57c6-b97a-11e9-8b81-fa163ee49799,31700|110440,1323656900,813980|892720
df392ae8-b862-11e9-9336-fa163ee49799,0|61160,2509505900,1882190|1943350
cfef9562-b99e-11e9-8b81-fa163ee49799,43670|86550,1530507600,2863840|2906720
63f67fda-b9a1-11e9-8b81-fa163ee49799,35640|87640,1596058300,1050430|1102430
cc90d8d2-b8fd-11e9-ad99-fa163ee49799,0|72350,2310133000,2599620|2671970
5efa90f0-b8db-11e9-bf24-fa163ee49799,0|47530,1402364300,339380|386910
421439a0-b91c-11e9-ad99-fa163ee49799,38510|89580,2447052500,5381390|5442680
f36f8d44-b994-11e9-8b81-fa163ee49799,46890|99750,1398481500,1898110|1950970
cc3ff924-b990-11e9-8b81-fa163ee49799,43730|126740,1596046700,3911170|3994180
29215448-b997-11e9-9c9e-fa163e3d9e3c,13580|115560,2436435900,2590810|2692790
98a250d2-b9a2-11e9-8b81-fa163ee49799,0|90010,1596058300,1862220|1952230
422d3222-b983-11e9-b8ed-fa163e063a2b,48130|121160,1498995700,1747560|1820590
61af1dbe-b982-11e9-8b81-fa163ee49799,0|97100,1500744900,1149880|1246980
6fab9c3c-b8cc-11e9-930e-fa163ee49799,0|69710,1214713500,683250|752960
e14e35a0-b90f-11e9-ad99-fa163ee49799,0|48870,2400411900,457360|506230
672d782a-b938-11e9-9c9e-fa163e3d9e3c,14940|121930,1782169900,671880|778870
7a719b4e-b868-11e9-9336-fa163ee49799,83140|180070,2437761800,312910|409840
04ea4c38-b90b-11e9-ad99-fa163ee49799,0|86330,2367850000,2342060|2428390
1975f4ea-b929-11e9-8b81-fa163ee49799,0|57750,2718954900,3194810|3264110
f9f3c30e-b8e7-11e9-bf24-fa163ee49799,0|86320,1176745900,3446150|3532470
2ae77258-b910-11e9-8127-fa163e063a2b,20380|106360,1681929600,427980|513960
ddc67cbc-b932-11e9-8b81-fa163ee49799,0|86100,2817413400,5950170|6036270
